"id","neighbourhood_name","state","state_lga_id","latitude","longitude","created_at","updated_at"
"639","Ilaro","Ogun","386","6.8954","3.0126",NULL,NULL
"640","Oja Odan","Ogun","386","6.8974","2.8362",NULL,NULL
"641","Egbado-South","Ogun","386","6.7832","2.9776",NULL,NULL
"642","Ajebo","Ogun","387","7.1193","3.7031",NULL,NULL
"643","Ewekoro","Ogun","387","6.9055","3.2075",NULL,NULL
"644","Owode-Egba","Ogun","387","6.9483","3.5079",NULL,NULL
"645","Afijio","Oyo","388","7.7243","3.8655",NULL,NULL
"646","Abebi","Oyo","388","7.6491","3.959",NULL,NULL
"647","Ibadan North","Oyo","389","7.4102","3.9165",NULL,NULL
"648","Molete","Oyo","389","7.3588","3.89",NULL,NULL
"649","Ibadan North East","Oyo","390","7.3615","3.9317",NULL,NULL
"650","Ibadan North West","Oyo","391","7.3889","3.8757",NULL,NULL
"651","Ibadan South East","Oyo","392","7.3293","3.9114",NULL,NULL
"652","Ibadan South West","Oyo","393","7.3458","3.8757",NULL,NULL
"653","Ibarapa Central","Oyo","394","7.4048","3.2383",NULL,NULL
"654","Ibarapa East","Oyo","395","7.641","3.4599",NULL,NULL
"655","Eruwa","Oyo","395","7.5304","3.417",NULL,NULL
"656","Akinyele","Oyo","396","7.5503","3.947",NULL,NULL
"657","Ibarapa North ","Oyo","397","7.6865","3.178",NULL,NULL
"658","Ibarapa North","Oyo","397","7.6865","3.178",NULL,NULL
"659","Ido","Oyo","398","7.5077","3.7194",NULL,NULL
"660","Opete","Oyo","401","8.0358","4.2231",NULL,NULL
"661","Ajawa","Oyo","401","7.691","3.8451",NULL,NULL
"662","Atiba","Oyo","402","8.2465","3.8655",NULL,NULL
"663","Atisbo","Oyo","403","8.3824","3.3389",NULL,NULL
"664","Olorunsogo","Oyo","404","8.013","3.352887816",NULL,NULL
"665","Oluyole","Oyo","405","7.2059","3.8655",NULL,NULL
"666","Ona Ara","Oyo","406","7.2689","4.0491",NULL,NULL
"667","Ori Ire","Oyo","406","8.3748","4.1514",NULL,NULL
"668","Oremeji/Agugu","Oyo","406","7.3763","3.9381",NULL,NULL
"669","Igboho","Oyo","407","8.8341","3.7587",NULL,NULL
"670","Irepo","Oyo","408","9.0368","3.8655",NULL,NULL
"671","Iseyin","Oyo","410","7.9765","3.5914",NULL,NULL
"672","Araromi","Oyo","410","8.1896","4.2372",NULL,NULL
"673","Okaka","Oyo","411","8.216","3.4637",NULL,NULL
"674","Iwajowa","Oyo","412","8.0355","3.0176",NULL,NULL
"675","Ijio","Oyo","412","7.9391","2.9838",NULL,NULL
"676","Oyo","Oyo","413","8.1574","3.6147",NULL,NULL
"677","Kajola","Oyo","415","8.0902","3.3464",NULL,NULL
"678","Ifelodun","Oyo","417","8.8624","3.4268",NULL,NULL
"679","Egbeda","Oyo","418","7.3796","3.9675",NULL,NULL
"680","Lagelu","Oyo","420","7.4846","4.0491",NULL,NULL
"681","Abua","Rivers","421","4.9564","6.6344",NULL,NULL
"682","Abua/Odual","Rivers","421","4.8207","6.5356",NULL,NULL
"683","Ahoada East","Rivers","422","5.0468","6.6424",NULL,NULL
"684","Ahoada West","Rivers","423","5.0685","6.5356",NULL,NULL
"685","Ahoada West ","Rivers","423","5.0685","6.5356",NULL,NULL
"686","Ogbele","Rivers","423","4.927","6.6514",NULL,NULL
"687","Obio/Akpor","Rivers","424","4.8776","7.0283",NULL,NULL
"688","Obio/Akpor ","Rivers","424","4.8776","7.0283",NULL,NULL
"689","Rumuola","Rivers","424","4.8356","7.0256",NULL,NULL
"690","Akuku-Toru","Rivers","425","4.6138","6.6638",NULL,NULL
"691","Akuku Toru","Rivers","425","4.6138","6.6638",NULL,NULL
"692","Andoni","Rivers","426","4.5044","7.3733",NULL,NULL
"693","Andoni ","Rivers","426","4.5044","7.3733",NULL,NULL
"694","Ogba/Egbema/Ndoni","Rivers","427","5.3998","6.6211",NULL,NULL
"695","Ogo/Bolo","Rivers","428","4.7231","7.1999",NULL,NULL
